"Date Time","Pressure (psi) (680530)","Temperature (°C) (680530)","Depth (ft) (680530)","Actual Conductivity (µS/cm)","Specific Conductivity (µS/cm) (680530)","Marked"
"2025-07-24 17:20:44","0.30622584","12.748465","0.7067706","16.334715","18.960878",""
"2025-07-24 17:20:45","0.30623","12.7472315","0.70678014","16.334782","18.961473",""
"2025-07-24 17:20:46","0.30623415","12.745999","0.7067896","16.334846","18.962069",""
"2025-07-24 17:20:47","0.30700955","12.732244","0.7085781","16.32767","18.95952",""
"2025-07-24 17:20:48","0.30705807","12.731059","0.70869","16.32732","18.959614",""
"2025-07-24 17:20:49","0.3055969","12.717196","0.70531636","16.328552","18.966875",""
"2025-07-24 17:20:50","0.30552384","12.716012","0.7051477","16.32846","18.967268",""
"2025-07-24 17:20:51","0.30545077","12.714828","0.70497894","16.32837","18.967659",""
"2025-07-24 17:20:52","0.30479705","12.70194","0.703469","16.33504","18.980833",""
"2025-07-24 17:20:53","0.30472004","12.700814","0.7032912","16.335472","18.981812",""
"2025-07-24 17:20:54","0.30464306","12.699689","0.7031134","16.335907","18.98279",""
"2025-07-24 17:20:55","0.3045525","12.687138","0.70290333","16.324482","18.9748",""
"2025-07-24 17:20:56","0.3045297","12.686056","0.70285064","16.323973","18.97466",""
"2025-07-24 17:20:57","0.3066226","12.673478","0.70767987","16.277607","18.92605",""
"2025-07-24 17:20:58","0.30675018","12.672398","0.70797426","16.274452","18.922838",""
"2025-07-24 17:20:59","0.30687773","12.671317","0.7082686","16.2713","18.919626",""
"2025-07-24 17:21:00","0.30650768","12.651219","0.707412","18.340551","21.33538",""
"2025-07-24 17:21:01","0.306539","12.649684","0.7074841","18.464422","21.480133",""
"2025-07-24 17:21:02","0.30657032","12.6481495","0.7075562","18.588293","21.624886",""
"2025-07-24 17:21:03","0.3060204","12.632441","0.7062857","18.584227","21.627731",""
"2025-07-24 17:21:04","0.30598012","12.630985","0.70619255","18.636587","21.689314",""
"2025-07-24 17:21:05","0.30596647","12.613669","0.70615953","18.503716","21.542961",""
"2025-07-24 17:21:06","0.3059537","12.61224","0.70613","18.495386","21.533953",""
"2025-07-24 17:21:07","0.30594096","12.610811","0.70610046","18.487057","21.524944",""
"2025-07-24 17:21:08","0.3049353","12.597552","0.70377845","18.24293","21.24695",""
"2025-07-24 17:21:09","0.3048731","12.596315","0.70363474","18.224766","21.22639",""
"2025-07-24 17:21:10","0.3048109","12.595079","0.7034911","18.206604","21.205832",""
"2025-07-24 17:21:11","0.28067347","12.513366","0.64777637","18.883812","22.034874",""
"2025-07-24 17:21:12","0.27926493","12.50833","0.6445251","18.916094","22.07495",""
"2025-07-24 17:21:13","0.27064025","12.524962","0.6246212","18.740913","21.862316",""
"2025-07-24 17:21:14","0.26956853","12.524294","0.6221477","18.74392","21.866121",""
"2025-07-24 17:21:15","0.2785758","12.525719","0.5510887","18.731287","21.85089",""
"2025-07-24 17:21:16","0.27904302","12.526438","0.54591584","18.724375","21.842487",""
"2025-07-24 17:21:17","0.2664533","12.525558","0.6071079","18.73852","21.859274",""
"2025-07-24 17:21:18","0.26562223","12.525491","0.6107827","18.739754","21.86074",""
"2025-07-24 17:21:19","0.26377514","12.525323","0.6073471","18.694817","21.801348",""
"2025-07-24 17:21:20","0.26315254","12.525254","0.6094553","18.691736","21.797188",""
"2025-07-24 17:21:21","0.26252994","12.525185","0.61156344","18.688656","21.793028",""
"2025-07-24 17:21:22","0.28574437","12.538883","0.65948164","18.698095","21.797161",""
"2025-07-24 17:21:23","0.28704676","12.539707","0.66248757","18.696926","21.7951",""
"2025-07-24 17:21:24","0.28834915","12.540531","0.6654935","18.695757","21.793037",""
"2025-07-24 17:21:25","0.28852966","12.556082","0.6659113","18.7035","21.797115",""
"2025-07-24 17:21:26","0.28909895","12.557357","0.6672253","18.703964","21.797144",""
"2025-07-24 17:21:27","0.29091892","12.567641","0.67142653","18.698048","21.786638",""
"2025-07-24 17:21:28","0.29100847","12.568574","0.6716333","18.697834","21.786064",""
"2025-07-24 17:21:29","0.29109803","12.569506","0.67184","18.69762","21.785488",""
"2025-07-24 17:21:30","0.29113156","12.578932","0.6719182","18.713608","21.8007",""
"2025-07-24 17:21:31","0.29116172","12.579786","0.6719879","18.714718","21.801685",""
"2025-07-24 17:21:32","0.29119188","12.580641","0.67205757","18.715826","21.80267",""
"2025-07-24 17:21:33","0.29096755","12.586291","0.6715403","18.703712","21.78769",""
"2025-07-24 17:21:34","0.29094797","12.586917","0.6714952","18.703579","21.787376",""
"2025-07-24 17:21:35","0.29118222","12.588834","0.672036","18.71278","21.79753",""
"2025-07-24 17:21:36","0.2911907","12.58911","0.6720556","18.713123","21.797865",""
"2025-07-24 17:21:37","0.29119918","12.589386","0.6720752","18.713467","21.7982",""
"2025-07-24 17:21:38","0.29208097","12.5907","0.67411035","18.70434","21.786404",""
"2025-07-24 17:21:39","0.2921403","12.590832","0.6742473","18.704037","21.785965",""
"2025-07-24 17:21:40","0.29219964","12.590963","0.67438424","18.703735","21.785526",""
"2025-07-24 17:21:41","0.29271826","12.593393","0.67558146","18.707518","21.789238",""
"2025-07-24 17:21:42","0.29277137","12.593573","0.67570406","18.707518","21.789165",""
"2025-07-24 17:21:43","0.29097575","12.595035","0.67156","18.705767","21.787207",""
"2025-07-24 17:21:44","0.29087442","12.595182","0.6713261","18.705755","21.787182",""
"2025-07-24 17:21:45","0.29077306","12.595331","0.6710922","18.705744","21.787157",""
"2025-07-24 17:21:46","0.29084522","12.5951185","0.6712586","18.708755","21.790787",""
"2025-07-24 17:21:47","0.29080337","12.59514","0.6711621","18.708893","21.790958",""
"2025-07-24 17:21:48","0.29076156","12.595163","0.6710656","18.709032","21.791128",""
"2025-07-24 17:21:49","0.29177952","12.594897","0.673415","18.712076","21.794712",""
"2025-07-24 17:21:50","0.2918416","12.594876","0.6735583","18.712334","21.79502",""
"2025-07-24 17:21:51","0.2923653","12.594791","0.67476696","18.713781","21.796959",""
"2025-07-24 17:21:52","0.29242066","12.59478","0.6748947","18.71394","21.79716",""
"2025-07-24 17:21:53","0.292476","12.5947695","0.6750224","18.714098","21.79736",""
"2025-07-24 17:21:54","0.2903959","12.594229","0.67022157","18.711172","21.794222",""
"2025-07-24 17:21:55","0.29027852","12.594193","0.6699508","18.711023","21.794073",""
"2025-07-24 17:21:56","0.2901612","12.594157","0.66967994","18.710875","21.793922",""
